-121.51	3.48	6.54	9.87	0.96
-299.28	9.45	6.26	8.03	3.61
-224.76	6.45	2.91	3.44	0.69
-313.86	9.72	9.54	4.88	2.95
-45.31	3.76	4.76	3.70	7.15
-339.62	9.35	6.39	6.57	0.26
-11.07	1.92	6.32	9.42	5.01
45.13	1.06	6.68	2.61	6.63
-45.17	1.38	7.18	7.39	0.85
-127.24	4.58	3.75	3.61	3.17
15.06	2.76	8.47	8.62	9.38
-17.38	2.97	0.64	7.53	7.27
9.95	3.08	9.20	4.59	9.70
-207.80	8.81	6.34	5.96	8.81
-57.12	2.07	2.42	3.56	1.57
64.49	0.51	2.06	0.35	6.48
-283.27	8.37	1.54	6.73	1.63
-262.59	8.51	7.45	8.26	3.95
-86.13	5.79	6.54	4.58	9.68
16.64	1.57	6.88	9.63	6.18
-286.47	9.58	0.23	3.06	4.91
-35.59	2.97	5.68	2.98	5.66
-74.73	2.66	4.51	9.85	2.13
-136.17	6.84	6.37	1.72	8.63
36.42	1.87	6.61	0.64	8.09
-137.85	4.30	4.94	0.37	1.35
-58.61	4.23	5.33	5.34	7.64
-272.28	9.83	7.10	0.81	6.36
-118.14	3.19	7.32	4.35	0.06
-160.81	7.41	4.48	8.52	8.72
-112.47	4.87	3.31	4.82	5.24
-224.18	6.86	0.95	8.87	2.24
-161.38	4.33	4.34	6.88	0.01
71.60	0.02	8.83	3.32	5.78
-16.32	1.77	8.06	9.89	4.29
-137.40	7.06	5.13	5.70	9.45
-231.60	8.86	4.94	8.72	7.44
-92.07	2.68	7.85	8.46	0.89
-128.98	4.91	4.54	9.96	4.44
-73.49	2.39	2.16	8.92	1.48
-93.12	3.19	1.72	8.19	2.17
-282.48	8.74	6.71	5.48	2.67
-185.30	7.11	2.97	2.24	5.66
-247.85	7.59	9.85	3.93	2.13
-181.78	6.52	2.57	1.42	4.33
-158.75	4.36	5.89	3.68	0.08
-38.72	3.97	8.92	1.77	8.25
59.09	0.24	1.34	3.99	5.51
23.20	0.89	0.72	2.34	4.36
-278.66	8.51	1.18	0.23	2.40
-106.28	3.93	3.26	1.40	2.79
51.64	0.73	5.08	0.13	6.04
-3.73	1.13	4.68	2.70	3.02
10.82	3.00	3.69	0.06	9.21
-292.92	8.23	2.18	1.77	0.21
28.13	2.24	4.84	1.22	8.47
-159.57	4.88	8.30	2.07	1.37
-87.56	2.42	9.83	5.95	0.41
-12.50	0.92	7.17	1.36	1.71
69.83	0.79	9.68	3.93	7.85
-89.47	2.61	0.74	7.83	0.80
-77.68	4.18	1.35	8.47	6.19
-213.99	8.88	5.04	6.45	8.85
-64.59	5.20	4.00	2.74	9.55
-239.90	7.59	6.45	5.15	2.99
-219.15	8.52	5.28	6.02	7.08
-20.31	1.78	7.92	1.13	3.47
-146.53	7.10	7.50	9.95	9.23
-88.13	5.92	5.22	7.04	9.94
-256.23	8.47	3.97	4.79	3.92
16.91	2.12	3.23	7.31	7.72
-1.11	0.94	5.19	5.67	2.89
-184.20	6.47	2.14	4.32	3.99
-262.67	9.88	5.10	8.81	7.85
-140.17	5.21	3.72	4.71	4.08
-62.79	3.97	7.38	7.82	6.82
61.10	0.98	7.60	5.61	7.74
-54.89	1.42	1.65	9.91	0.32
-262.76	9.15	7.46	0.87	5.34
-128.79	6.27	9.73	2.14	7.65
-95.21	3.96	7.33	7.34	4.16
-130.14	4.57	1.91	7.72	3.11
-118.14	4.88	7.81	1.12	4.60
2.31	0.71	3.18	2.18	2.30
-17.86	2.76	2.34	3.77	6.48
-30.34	3.61	9.48	9.70	8.30
-160.33	6.14	3.46	8.62	5.26
-12.00	3.00	3.98	9.29	8.00
-166.13	7.50	9.00	6.97	8.29
-98.29	5.65	3.29	1.11	8.28
-335.94	9.49	8.40	4.35	1.05
-31.13	1.65	3.73	2.65	2.31
-3.11	1.17	8.93	6.79	3.45
47.93	0.61	7.57	5.04	5.76
-82.65	4.30	1.95	7.07	6.00
-256.80	7.96	9.29	9.24	3.09
-263.06	9.53	9.12	0.95	6.16
4.44	1.20	1.85	2.37	3.77
-43.89	2.74	8.72	3.40	4.47
-112.35	6.09	2.89	3.86	8.53
-34.52	1.18	1.84	4.92	0.92
-35.19	2.97	1.00	1.80	5.63
-342.24	9.81	8.65	7.73	1.11
-20.27	2.97	2.01	9.12	7.09
-240.57	7.50	4.67	2.04	2.55
-97.42	4.27	5.19	9.87	4.98
-110.41	3.31	6.99	2.28	0.90
-205.90	8.36	9.50	5.44	7.60
-20.77	2.71	0.52	3.41	6.19
-152.45	6.27	9.88	0.88	5.79
-26.59	3.86	4.29	7.09	9.11
-54.73	4.83	3.48	1.06	9.16
-52.34	3.84	7.62	7.99	7.26
-81.28	2.93	5.89	6.99	2.33
-157.79	4.89	6.43	0.00	1.36
-268.60	7.77	7.41	2.02	1.20
-8.45	0.71	9.47	2.52	1.54
73.13	1.06	9.31	8.14	9.18
-54.26	2.65	4.59	6.67	3.55
-150.85	5.37	0.05	2.19	3.45
-150.90	5.99	4.93	1.56	5.07
4.81	0.26	1.56	2.11	1.23
-197.86	6.19	5.26	0.56	1.90
-238.11	8.63	5.48	3.23	5.98
-136.96	5.13	8.15	7.50	4.25
-61.50	2.93	9.38	4.47	3.69
-226.93	7.37	0.27	2.96	2.95
65.56	1.39	3.07	4.64	9.13
-157.57	6.40	8.60	0.51	5.76
-136.03	4.31	4.81	8.62	2.08
11.22	0.88	6.72	2.96	3.55
33.44	0.27	7.54	3.70	3.60
47.91	0.89	1.04	8.60	6.61
-63.48	2.43	5.19	5.75	2.24
-147.04	4.21	7.05	7.47	0.86
-171.17	4.73	8.89	5.53	0.36
-42.32	2.51	5.57	7.58	4.12
-294.41	8.15	3.21	4.88	0.31
-248.18	7.66	9.01	1.20	2.35
-245.85	7.01	2.45	3.05	0.72
-210.05	7.95	7.60	1.08	5.91
-152.81	5.13	6.84	2.85	2.74
-88.16	4.35	5.66	6.70	5.81
-2.62	2.18	8.85	6.99	6.29
-116.50	6.76	7.84	0.54	9.93
-276.35	9.85	9.38	4.29	6.31
108.31	0.22	5.37	4.30	9.33
-180.16	8.14	4.04	5.91	9.00
9.33	1.25	2.32	5.19	4.43
44.85	1.60	9.43	1.65	8.09
-130.34	4.01	1.82	2.16	1.32
-193.37	5.58	9.30	6.16	1.09
-133.08	6.58	2.37	2.12	7.98
-20.86	2.48	0.90	5.21	5.49
-257.89	7.26	4.01	6.25	0.52
-226.24	8.00	1.18	1.92	5.10
91.35	0.72	4.65	6.19	9.46
-190.44	7.40	3.04	3.04	6.22
-80.24	4.35	6.25	0.35	5.95
-16.59	1.73	1.59	5.17	3.91
-55.15	4.44	1.13	0.10	8.05
-42.31	4.10	0.39	1.03	8.28
-2.80	2.46	8.17	6.06	6.96
-207.80	5.90	7.71	5.70	0.69
-8.15	1.31	9.08	4.33	3.27
-113.18	3.11	2.79	2.88	0.02
-17.20	1.58	4.68	2.77	3.22
25.05	2.46	2.07	1.13	8.92
-220.48	7.75	1.10	7.21	4.93
-277.60	7.78	5.43	0.12	0.08
-109.70	4.51	6.05	7.72	4.69
-197.27	6.16	2.47	6.88	2.42
-70.70	2.96	5.08	4.87	3.17
-59.35	4.28	8.77	2.07	7.41
-233.21	6.88	7.83	5.94	1.67
-102.00	4.58	2.08	6.19	5.28
-214.18	8.97	4.25	1.23	8.41
-45.50	1.58	8.62	5.87	1.29
-193.22	7.12	0.89	0.26	4.74
-268.10	8.09	9.32	0.09	1.95
-10.49	0.62	7.12	8.05	1.42
-41.58	1.48	6.07	6.47	1.30
-171.07	6.46	1.41	1.34	4.83
-272.00	9.90	7.97	7.46	7.15
-161.44	5.54	7.55	4.89	3.26
-220.81	8.57	7.56	6.64	7.33
-284.91	8.96	0.90	7.66	3.15
-144.71	6.01	7.10	4.96	5.94
-89.88	4.21	4.68	9.13	5.32
108.05	0.28	4.80	6.97	9.59
-41.28	1.49	6.16	5.49	1.24
-147.68	5.24	1.09	7.08	3.68
-239.78	9.90	2.97	5.95	9.28
-139.92	6.82	4.85	5.84	8.61
-129.95	3.73	9.31	8.94	0.95
-261.94	9.23	9.65	6.12	6.05
-228.07	8.69	2.22	8.37	7.15

